disease,description,medications,precautions,diet,workout,specialist
Heart attack,A medical emergency where blood flow to the heart is blocked.,Aspirin; Thrombolytics/anticoagulants; Statins and beta-blockers (follow-up),Call emergency services immediately; Chew aspirin if advised; Cardiac rehab after recovery; Regular cardiology follow-up,Heart-healthy low-sodium diet; Omega-3 rich foods; Avoid trans/saturated fats,Supervised cardiac rehabilitation; gradual return to activity.,Cardiologist (EMERGENCY — seek immediate care)
Hepatitis B,A viral infection of the liver spread through blood and body fluids.,"Antiviral drugs (e.g., tenofovir, entecavir); Interferon therapy; Supportive care",Get vaccinated (prevention); Avoid alcohol; Practice safe sex; Regular liver monitoring,Balanced liver-friendly diet; Avoid alcohol and fatty foods; Adequate protein,Moderate activity as tolerated.,Hepatologist / Gastroenterologist
Hepatitis C,A blood-borne viral infection that can cause chronic liver disease.,Direct-acting antivirals (DAAs); Supportive care; Liver-protective measures,Avoid sharing needles/razors; Avoid alcohol; Regular liver monitoring; Safe medical practices,Liver-friendly balanced diet; Avoid alcohol; Adequate hydration,Regular moderate exercise as tolerated.,Hepatologist / Gastroenterologist
Hepatitis D,A liver infection that only occurs in people already infected with Hepatitis B.,Pegylated interferon; Manage underlying Hepatitis B; Supportive care,Hepatitis B vaccination (prevention); Avoid alcohol; Regular monitoring; Safe practices,Liver-friendly diet; Avoid alcohol; Nutrient-dense foods,Light to moderate activity as tolerated.,Hepatologist
Hepatitis E,A liver infection usually spread through contaminated water.,Supportive care (usually self-limiting); Rest and hydration; Ribavirin in severe cases,Drink clean/boiled water; Maintain hygiene; Avoid alcohol; Rest adequately,Easily digestible foods; Plenty of clean fluids; Avoid fatty foods,Rest during illness; resume gradually.,Hepatologist / General Physician
Hypertension,Persistently high blood pressure that strains the heart and vessels.,ACE inhibitors/ARBs; Diuretics; Calcium channel blockers,Reduce salt intake; Monitor blood pressure; Manage stress; Take medication regularly,DASH diet; Low-sodium foods; Potassium-rich fruits and vegetables,"Regular aerobic exercise (brisk walking, 30 min/day).",Cardiologist / General Physician
Hyperthyroidism,An overactive thyroid producing too much thyroid hormone.,"Antithyroid drugs (e.g., methimazole); Beta-blockers for symptoms; Radioactive iodine (as advised)",Regular thyroid tests; Avoid excess iodine; Manage stress; Follow medication schedule,Adequate calories; Calcium and vitamin-D rich foods; Limit iodine-heavy foods,Gentle exercise; avoid overexertion until controlled.,Endocrinologist
Hypoglycemia,"Abnormally low blood sugar, causing shakiness, sweating, and confusion.",Fast-acting glucose/glucose tablets; Glucagon (emergency); Adjust diabetes medication,Carry quick sugar source; Eat regular meals; Monitor blood sugar; Recognize early symptoms,Frequent small balanced meals; Complex carbohydrates; Avoid skipping meals,Exercise with a snack on hand; monitor sugar before/after.,Endocrinologist
Hypothyroidism,An underactive thyroid producing too little thyroid hormone.,Levothyroxine (thyroid hormone replacement); Regular dose adjustment; Supportive care,Take medication on empty stomach; Regular thyroid tests; Consistent medication timing; Monitor weight and energy,Iodine-adequate diet; Selenium-rich foods; Balanced nutrition,Regular moderate exercise to support metabolism.,Endocrinologist
Impetigo,A contagious bacterial skin infection causing red sores and blisters.,Topical antibiotics (mupirocin); Oral antibiotics (widespread); Antiseptic washes,Keep sores clean and covered; Avoid scratching; Don't share towels; Wash hands frequently,Immune-supporting foods; Vitamin-C and zinc rich foods; Stay hydrated,Rest and avoid contact activities until healed.,Dermatologist
Jaundice,"Yellowing of skin and eyes due to high bilirubin, often a liver-related sign.",Treat underlying cause; Supportive care; Avoid hepatotoxic drugs,Identify underlying cause; Avoid alcohol; Stay hydrated; Regular liver tests,Plenty of fluids; Easily digestible low-fat foods; Fresh fruits and vegetables,Rest during acute phase; light activity as recovery allows.,Hepatologist / Gastroenterologist
Malaria,A mosquito-borne parasitic infection causing fever and chills.,"Antimalarials (e.g., artemisinin combinations); Chloroquine (region-dependent); Supportive care",Prevent mosquito bites; Use bed nets; Complete full medication course; Seek prompt treatment,Plenty of fluids; Easily digestible energy-rich foods; Fresh fruits,Complete rest during illness; recover gradually.,General Physician / Infectious Disease Specialist
Migraine,"A neurological condition causing intense, often one-sided headaches.",Triptans; NSAIDs/analgesics; Preventive medication (as advised),Identify and avoid triggers; Rest in a dark quiet room; Maintain sleep routine; Manage stress,Regular meals (avoid skipping); Stay hydrated; Limit caffeine and processed foods,Regular gentle exercise and relaxation techniques (yoga).,Neurologist
Osteoarthristis,"Degenerative joint disease from cartilage breakdown, causing pain and stiffness.",NSAIDs/analgesics; Topical pain relief; Joint supplements (as advised),Maintain healthy weight; Protect joints; Use supportive footwear; Apply hot/cold packs,Anti-inflammatory foods; Calcium and vitamin-D rich foods; Omega-3 rich foods,"Low-impact exercise: swimming, cycling, physiotherapy.",Orthopedic Specialist / Rheumatologist
Paralysis (brain hemorrhage),Loss of muscle function due to bleeding in the brain — a medical emergency.,Emergency neurosurgical care; Blood pressure control; Rehabilitation therapy,Seek emergency care immediately; Control blood pressure; Follow rehabilitation plan; Prevent falls,Balanced brain-healthy diet; Low-sodium foods; Adequate hydration,Physiotherapy and supervised rehabilitation exercises.,Neurologist / Neurosurgeon (EMERGENCY)
Peptic ulcer diseae,Open sores in the stomach lining or upper small intestine.,Proton pump inhibitors; Antibiotics (if H. pylori); Antacids,Avoid NSAIDs; Limit alcohol and smoking; Manage stress; Eat regular meals,Avoid spicy/acidic foods; Small frequent meals; Include fiber-rich foods,Light regular activity; stress-reducing exercise.,Gastroenterologist
Pneumonia,"Infection that inflames the air sacs in the lungs, causing cough and fever.",Antibiotics (bacterial); Antivirals (viral); Fever and cough relief,Complete antibiotic course; Rest well; Stay hydrated; Get vaccinated (prevention),Warm fluids and soups; Protein-rich foods; Vitamin-C rich fruits,Rest during illness; breathing exercises during recovery.,Pulmonologist / General Physician
Psoriasis,"An autoimmune skin condition causing scaly, itchy patches.",Topical corticosteroids; Vitamin-D analogs; Phototherapy/systemic drugs (severe),"Moisturize regularly; Avoid triggers (stress, injury); Limit alcohol; Gentle skincare",Anti-inflammatory diet; Omega-3 rich foods; Reduce processed foods,Regular exercise to reduce stress and inflammation.,Dermatologist
Tuberculosis,A bacterial infection that mainly affects the lungs and spreads through the air.,"Anti-TB regimen (isoniazid, rifampicin, etc.); Directly observed therapy (DOTS); Complete 6+ month course",Complete full treatment course; Cover mouth when coughing; Ensure ventilation; Regular follow-up,High-protein high-calorie diet; Vitamin-rich foods; Adequate hydration,Rest early; gradual light activity as strength returns.,Pulmonologist / Infectious Disease Specialist
Typhoid,A bacterial infection from contaminated food or water causing sustained fever.,Antibiotics (as prescribed); Fever management; Oral/IV rehydration,Complete antibiotic course; Drink clean water; Maintain hygiene; Rest well,"Soft, easily digestible foods; Plenty of fluids; High-calorie nutrition",Complete rest during illness; recover gradually.,General Physician / Infectious Disease Specialist
Urinary tract infection,"An infection in any part of the urinary system, commonly the bladder.",Antibiotics; Pain relief (phenazopyridine); Increased fluids,Drink plenty of water; Urinate frequently; Maintain hygiene; Complete antibiotic course,Plenty of water; Cranberry (supportive); Avoid caffeine and alcohol,Light activity; stay well hydrated.,Urologist / General Physician
Varicose veins,"Enlarged, twisted veins, usually in the legs, from weakened valves.",Compression stockings; Pain relief; Sclerotherapy/procedures (severe),Avoid prolonged standing; Elevate legs when resting; Wear compression stockings; Maintain healthy weight,High-fiber foods; Low-salt diet; Flavonoid-rich fruits,"Regular leg exercises: walking, cycling, calf raises.",Vascular Surgeon
hepatitis A,A highly contagious liver infection spread through contaminated food or water.,Supportive care (usually self-limiting); Rest and hydration; Avoid hepatotoxic drugs,Get vaccinated (prevention); Maintain hygiene; Drink clean water; Avoid alcohol,Easily digestible low-fat foods; Plenty of fluids; Fresh fruits and vegetables,Rest during illness; resume activity gradually.,Hepatologist / General Physician
